date,usage_start_time,usage_end_time,project_id,service,sku,cost,usage_amount,usage_unit,currency
2024-07-16 00:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,2024-07-16 18:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,1519.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,2024-07-16 18:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,1430.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,2024-07-16 18:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,775.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,2024-07-16 18:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,1304.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,3600.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,3600.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,3600.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,2024-07-16 17:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,3600.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 15:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,gcs-bucket-subash,Networking,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,0.000717,1.0,requests,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 15:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,gcs-bucket-subash,Compute Engine,Network Inter Region Data Transfer Out from Las Vegas to Milan,0.0,44.0,bytes,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 15:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,2330.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 15:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,1396.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 15:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,2419.0,seconds,CHF
2024-07-16 00:00:00.000000 UTC,2024-07-16 15:00:00.000000 UTC,2024-07-16 16:00:00.000000 UTC,gcs-bucket-subash,Networking,Networking Service Directory Integrated Resource,0.0,2204.0,seconds,CHF
